Name;Street1;Street2;Street3;City;Province;Zip;User;UserSS;Last Shipment;Last Contact;Rolling 12 Months Sales;Rolling 12 Months Sales LY;Sales Last Month;Sales Last Month LY;Balance
Rentokil Initial Italia SpA;Via Laurentina KM 26.500;;;Pomezia;RM;00071;Fabio Gallo;Fabio Gallo;05/04/23;06/03/23;€21.603,07;€18.482,57;€880,77;€1.288,08;€39.932,76
Narvalo srl;Via Pietro Maroncelli 17;;;Milano;mi;20154;Fabio Gallo;Fabio Gallo;03/04/23;03/04/23;€13.009,21;€31.024,44;€172,90;€1.642,94;€53.932,31
PAPUSSE S.R.L. SEMPLIFICATA UNIPERSONALE;VIA ROBERTO LEPETIT 8/10;;;MILANO;MI;20124;Fabio Gallo;Fabio Gallo;05/04/23;05/04/23;€11.454,27;€12.136,04;€622,26;€1.084,35;€24.100,93
DOM S.R.L.;Via Cervese 373;;;CESENA;FC;47521;Fabio Gallo;Fabio Gallo;28/03/23;17/03/23;€9.661,34;€982,29;€0,00;€0,00;€11.678,54
CAUDALIE ITALIA S.R.L.;Largo Claudio Treves 5;;;Milano;MI;20121;Fabio Gallo;Fabio Gallo;05/04/23;04/04/23;€8.613,46;€1.269,61;€1.497,30;€36,00;€7.317,93
RTL 102,500 HIT RADIO S.R.L.;VIA CLARA MAFFEI, 14/A;;;BERGAMO;BG;24121;Fabio Gallo;Fabio Gallo;05/04/23;04/04/23;€8.219,28;€0,00;€355,36;€0,00;€4.781,24
THE FAMILY SRL;VIA PECCHIO, 14;;;Milano;MI;20131;Fabio Gallo;Fabio Gallo;31/03/23;27/03/23;€7.939,35;€3.694,64;€346,45;€174,50;€8.931,68
PAVIA E ANSALDO;Via del Lauro, 7;;;Milano;MI;20121;Giordano Greco;Giordano Greco;31/01/23;22/04/22;€7.701,43;€3.551,73;€0,00;€0,00;€13.552,78
Spotify Italy S.r.l.;Via Joe Colombo 4;Villa Corniola;;Milano;MI;20124;Vanni Paleari;Vanni Paleari;27/01/23;06/03/23;€7.411,74;€6.130,23;€0,00;€288,69;€9.121,62
ASSOGESTIONI;VIA ANDEGARI, 18;;;MILANO;MI;20121;Fabio Gallo;Fabio Gallo;03/04/23;03/04/23;€7.331,22;€5.398,63;-€479,39;€2.068,08;€15.366,37
PIERO GANCIA;Via Piermarini 4;;;milano;mi;20145;Fabio Gallo;Fabio Gallo;10/02/23;01/02/23;€6.446,00;€0,00;€0,00;€0,00;€4.372,00
PANDORA ITALIA S.R.L.;VIA FEDERICO CONFALONIERI, 4;;;MILANO;MI;20124;Fabio Gallo;Fabio Gallo;31/01/23;02/01/23;€6.251,56;€2.616,40;€0,00;€1.056,35;€7.374,99
Clevver GmbH;Friedrichstr.123;;;Berlin;;10117;Fabio Gallo;Fabio Gallo;31/03/23;;€6.211,80;€8.536,14;€873,70;€487,60;€11.332,59
SAMHITA S.R.L.;Via Manzoni 14;;;Milano;MI;20121;Fabio Gallo;Fabio Gallo;31/03/23;24/03/23;€6.082,15;€3.965,87;€58,13;€50,26;€5.202,85
Consorzio Porta Nuova Isola;Via Giacomo Leopardi, 7;;;MILANO;MI;20123;Fabio Gallo;Fabio Gallo;30/06/22;02/07/22;€5.090,82;€0,00;€0,00;€0,00;€0,00
MARKETING E INNOVAZIONE ITALIA S.R.L.;CORSO GIUSEPPE GARIBALDI 125;;;MILANO;MI;20121;Fabio Gallo;Fabio Gallo;05/04/23;09/08/22;€4.930,00;€4.283,83;€0,00;€1.355,74;€11.240,87
ASSOGESTIONI SERVIZI S.R.L.;VIA ANDEGARI 18;;;MILANO;MI;20121;Fabio Gallo;Fabio Gallo;31/05/22;07/09/22;€4.801,04;€0,00;€0,00;€0,00;€294,07
ALMA;Corso di porta nuova;;;NEUILLY-SUR-SEINE;Mi;;;;04/04/23;03/04/23;€4.515,40;€0,00;€4.515,40;€0,00;€5.046,19
Senso S.r.l.;Via della Posta, 8;;;Milano;mi;20123;Fabio Gallo;Fabio Gallo;31/03/23;03/04/23;€4.346,34;€3.140,20;-€1.090,00;€1.833,68;€6.584,82
MBE FULFILLMENT FREIGHT BROKERS L.L.C.;DUBAI OFFICE N.13/14 KING RASHID;;;DUBAI;;UAE;Fabio Gallo;Fabio Gallo;29/09/22;18/11/22;€4.285,00;€0,00;€0,00;€0,00;€500,00
STUDY TOURS INTERNATIONAL SRL;VIA FATEBENEFRATELLI 32;;;MILANO;MI;20121;Fabio Gallo;Fabio Gallo;30/06/22;;€4.196,73;€5.319,55;€0,00;€0,00;€10.560,11
TENAX CAPITAL LIMITED;DOMENICAN HOUSE 4;;;LONDRA;;EC4V 6DE;Fabio Gallo;Fabio Gallo;30/12/22;01/03/23;€3.800,00;€0,00;€0,00;€0,00;€0,00
LEGA ITALIANA PER LA LOTTA CONTRO I TUMORI - ASSOCIAZIONE DI PROM OZIONE SOCIALE, O PER BREVITA' LILT MILANO MONZA BRIANZA APS;VIA GIACOMO VENEZIAN, 1;;;MILANO;MI;20133;Fabio Gallo;Fabio Gallo;07/10/22;27/10/22;€3.545,00;€0,00;€0,00;€0,00;€0,00
FONDAZIONE DON GINO RIGOLDI;VIA LUIGI MENGONI, 3;;;MILANO;MI;20152;Fabio Gallo;Fabio Gallo;05/04/23;31/03/23;€3.445,00;€0,00;€715,00;€0,00;€1.165,10
Consorzio Porta Nuova Varesine;Via Giacomo Leopardi, 7;;;MILANO;MI;20123;Fabio Gallo;Fabio Gallo;23/06/22;27/12/22;€3.422,98;€4.350,01;€0,00;€0,00;€9.447,84
HAIR BAR GROUP S.R.L.;VIA CAPPUCCIO, 14;;;MILANO;MI;20123;Fabio Gallo;Fabio Gallo;31/03/23;28/03/23;€3.290,49;€409,84;€360,56;€0,00;€2.165,78
CABIRIA BRANDUNIVERSE S.R.L.;CORSO ITALIA, 8;;;MILANO;MI;20123;Fabio Gallo;Fabio Gallo;29/12/22;15/03/23;€3.267,71;€0,00;€0,00;€0,00;€0,00
Lattuada Gallery SRL;V.VILLANI 2;;;LODI;LO;26900;Giordano Greco;Giordano Greco;03/04/23;24/10/22;€3.195,52;€0,00;€0,00;€0,00;€592,82
BIESTERFELD POLYBASS SPA;VIA D. MANIN 5;;;MILANO;MI;20121;Giordano Greco;Giordano Greco;05/04/23;05/04/23;€3.167,94;€1.981,84;€362,94;€18,28;€4.925,26
WISEENERGY ITALIA S.R.L.;VIA SAN MARCO, 21;;;MILANO;MI;20121;Fabio Gallo;Fabio Gallo;05/04/23;31/03/23;€3.120,25;€1.947,54;€590,40;€184,35;€3.959,52
LEEVIA S.R.L.;PIAZZA CENTA 7;;;TRENTO;TN;38122;Fabio Gallo;Fabio Gallo;23/12/22;11/07/22;€3.115,49;€11.863,98;€0,00;€280,85;€29.939,39
Notaio Roberto Battiloro;Via Andrea Appiani 7;;;Milano;MI;20121;Giordano Greco;Giordano Greco;31/01/23;03/04/23;€2.992,00;€1.743,93;€0,00;€0,00;€3.295,13
SUBITO.IT srl;Via Benigno Crespi 19;;;Milano;mi;20159;Fabio Gallo;Fabio Gallo;05/04/23;05/04/23;€2.924,13;€1.402,64;€503,33;€125,08;€4.497,42
BEAUTICK BERGAMO SRL;PIAZZA PONTIDA 22;;;BERGAMO;BG;24212;Fabio Gallo;Fabio Gallo;13/02/23;13/03/23;€2.836,90;€0,00;€0,00;€0,00;€2.989,67
BOTTEGA DELL'ARTE DEL VINO SRL;VIA FARA 25;;;MILANO;MI;20124;Fabio Gallo;Fabio Gallo;31/03/23;21/03/23;€2.713,11;€3.764,34;€17,23;€0,00;€6.163,47
LILLABRY COMMUNICATION S.R.L.;VIA CERVA, 1;;;MILANO;MI;20122;Fabio Gallo;Fabio Gallo;30/01/23;23/02/23;€2.673,82;€4.725,53;€0,00;€0,00;€7.684,26
ABGROUP;via risorgimento n. 56;;;Mazzo di Rho;mi;20017;Fabio Gallo;Fabio Gallo;29/07/22;18/11/22;€2.650,00;€0,00;€0,00;€0,00;€2.650,00
Passion Blanche SRLS UNIPERSONALE;Via Vincenzo Monti n 15;;;Milano;MI;20123;Fabio Gallo;Fabio Gallo;05/04/23;05/04/23;€2.563,78;€0,00;€663,04;€0,00;€2.101,82
GALILEO GREEN ENERGY MANAGEMENT SERVICES S.R.L.;VIA FILIPPO TURATI, 30;;;MILANO;MI;20121;Fabio Gallo;Fabio Gallo;31/03/23;28/03/23;€2.404,67;€0,00;€187,29;€0,00;€297,03
L&B PARTNERS S.P.A;VIA TURATI 6;;;MILANO;MI;20121;Fabio Gallo;Fabio Gallo;05/04/23;31/03/23;€2.316,81;€1.577,48;€32,22;€283,72;€3.386,45
HELLODI S.R.L.;VIALE LIGURIA 24;;;MILANO;MI;20143;Giordano Greco;Giordano Greco;28/02/23;30/03/23;€2.241,92;€1.487,44;€0,00;€0,00;€1.908,10
PASTICCERIA RANIERI SAS;Via della Moscova 7;;;Milano;MI;20121;Fabio Gallo;Fabio Gallo;03/04/23;02/01/23;€2.215,38;€3.136,77;€384,59;€59,74;€7.336,61
GRENKE LOCAZIONE S.R.L.;Via Gaetano de Castillia, 23;;;MILANO;MI;20124;Fabio Gallo;Fabio Gallo;31/03/23;22/03/23;€2.173,13;€0,00;€1.523,13;€0,00;€2.651,22
CRAZY PIZZA MILANO MOSCOVA S.R.L.;VIA TOLMINO, 12;;;ROMA;RM;00198;;;31/03/23;;€1.960,00;€0,00;€1.600,00;€0,00;€1.952,00
ORGANIC MILANO S.R.L.;VIA MORIGI, 8;;;MILANO;MI;20123;Fabio Gallo;Fabio Gallo;31/03/23;04/04/23;€1.955,35;€475,41;€601,24;€0,00;€239,79
BELIEVE DIGITAL SRL;Via Morimondo, 26;;;MILANO;MI;20143;Fabio Gallo;Fabio Gallo;31/03/23;07/03/23;€1.898,80;€4.847,35;€10,00;€220,00;€6.546,93
VALORE D (Non Usare);VIA EDMONDO DE AMICIS, 19;;;MILANO;MI;20123;Fabio Gallo;Fabio Gallo;05/04/23;30/03/23;€1.860,83;€2.318,35;-€1.825,83;€0,00;€2.741,65
FONTANA RAVA TOSCANO & PARTNERS SRL;VIA TURATI 40;;;MILANO;MI;20121;Fabio Gallo;Fabio Gallo;30/01/23;24/10/22;€1.804,83;€1.924,86;€0,00;€322,44;€2.467,08
QUATTROR SOCIETA' DI GESTIONE DEL RISPARMIO S.P.A. O IN FORMA ABB REVIATA QUATTROR SGR S.P.A.;VIA BORGONUOVO 14;;;MILANO;MI;20121;Fabio Gallo;Fabio Gallo;31/01/23;30/12/22;€1.795,00;€876,00;€0,00;€0,00;€1.068,72
Shindo Textile Europe GmbH;Dreherstrasse 25;;;Remscheid;;42899;Fabio Gallo;Fabio Gallo;31/03/23;03/03/23;€1.779,93;€2.360,57;€45,00;€79,34;€3.847,11
BIESTERFELD POLYCHEM S.R.L.;Via Daniele Manin 5;;;Milano;MI;20121;Giordano Greco;Giordano Greco;31/03/23;21/03/23;€1.679,99;€852,88;€88,62;€33,20;€1.992,34
VICTOR BERGA;VIA GOITO N3;;;MILANO;MI;20121;;;04/04/23;17/11/22;€1.677,31;€0,00;€165,00;€0,00;€65,40
AVEROLDI GIOVANNI;PIAZZA DEL DUOMO 17;;;MILANO;MI;20121;Giordano Greco;Giordano Greco;30/01/23;;€1.654,20;€4.064,06;€0,00;€113,00;€5.472,99
F.S.I. Federazione Scacchistica Italiana;Viale Regina Giovanna 12;;;Milano;MI;20129;Fabio Gallo;Fabio Gallo;29/12/22;13/12/22;€1.579,96;€1.940,46;€0,00;€0,00;€2.544,39
LUCA FLORIANO CLEMENTE;VIA CAVA 7;;;ANACAPRI;NA;80071;Fabio Gallo;Fabio Gallo;31/03/23;27/03/23;€1.575,50;€0,00;€652,39;€0,00;€1.677,02
NEXTENERGY CAPITAL ITALIA S.R.L.;VIA SAN MARCO, 21;;;MILANO;MI;20121;Fabio Gallo;Fabio Gallo;31/03/23;08/03/23;€1.545,72;€175,37;€127,90;€0,00;€1.046,91
GALDERMA ITALIA S.P.A.;VIA DELL'ANNUNCIATA, 21;;;MILANO;MI;20121;Fabio Gallo;Fabio Gallo;13/10/22;;€1.500,00;€0,00;€0,00;€0,00;€0,00
CHEF IN CAMICIA S.R.L.;VIA RIVA DI TRENTO, 11/A;;;MILANO;MI;20139;Fabio Gallo;Fabio Gallo;31/03/23;31/03/23;€1.497,85;€2.055,61;€9,26;€113,41;€3.296,51
FARAD INSURANCE BROKER ITALIA S.R.L.;VIA DELL'ANNUNCIATA, 27;;;MILANO;MI;20121;Fabio Gallo;Fabio Gallo;31/03/23;13/03/23;€1.460,58;€1.000,00;€173,77;€0,00;€1.308,30
N'Ombra De Vin S.r.l.;Via San Marco, 2;;;Milano;MI;20121;Fabio Gallo;Fabio Gallo;31/03/23;31/03/23;€1.447,94;€3.326,31;€36,74;€409,84;€4.343,73
MM COMPANY S.R.L.;Via Pace 135;;;VILLAFRANCA DI VERONA;VR;37069;Fabio Gallo;Fabio Gallo;05/04/23;05/04/23;€1.399,97;€400,00;€10,17;€400,00;€1.843,93
ONE MEDIA ITALY S.R.L.;VIA DELLA MOSCOVA 14/A;;;MILANO;MI;20121;Fabio Gallo;Fabio Gallo;31/03/23;14/03/23;€1.292,57;€213,94;€415,05;€0,00;€0,00
4Business Editore Srl;P.le Carlo Maciachini, 11;;;Milano;MI;20159;Fabio Gallo;Fabio Gallo;30/06/22;24/10/22;€1.283,77;€0,00;€0,00;€0,00;€0,00
ONE WORKS S.P.A.;VIA ANTONIO AMATORE SCIESA 13;;;MILANO;MI;20135;Fabio Gallo;Fabio Gallo;31/01/23;09/02/23;€1.199,82;€360,00;€0,00;€0,00;€923,04
BELVES DI GIANNETTO VALERIO;VIA ANTONIO GAMBACORTI PASSERINI, 13;;;MONZA;MB;20900;Fabio Gallo;Fabio Gallo;30/09/22;28/11/22;€1.186,51;€0,00;€0,00;€0,00;€735,63
GLOBO COMMUNICATION S.N.C. DI PAOLO COLOGNA E ARTURO FRANCESCO CANGIANIELLO;VIA MONZAMBANO, 13;;;MILANO;MI;20159;;;31/03/23;;€1.059,60;€0,00;€1.059,60;€0,00;€0,00
LA CUPA SRL;VIA SCARLATTI 20;;;MILANO;MI;20124;Giordano Greco;Giordano Greco;31/03/23;31/03/23;€1.044,35;€1.758,94;€0,00;€0,00;€2.794,34
ISG S.P.A;Via dei Giovi n. 18;;;Baranzate;mi;20021;Fabio Gallo;Fabio Gallo;31/05/22;16/01/23;€1.035,00;€0,00;€0,00;€0,00;€1.262,70
LB SOCIETA' A RESPONSABILITA' LIMITATA SEMPLIFICATA;VIA PADOVA 10;;;LIMENA;PD;35010;Fabio Gallo;Fabio Gallo;05/04/23;24/11/22;€1.001,89;€749,78;€41,03;€53,49;€1.840,83
GIORGETTI TOMASO PIETRO MODESTO;VIA DEI BOSCHI DI SOPRA;;;POMBIA;NO;28050;Fabio Gallo;Fabio Gallo;31/01/23;29/01/23;€997,25;€0,00;€0,00;€0,00;€0,00
Giussani srl;Via A. De Gasperi, 29,;;;LAINATE;MI;20045;Fabio Gallo;Fabio Gallo;31/03/23;24/02/23;€982,10;€0,00;€69,49;€0,00;€789,48
DOTT.VITO SPORTELLI;VIA DELLA MOSCOVA 27;;;MILANO;MI;20121;Giordano Greco;Giordano Greco;31/10/22;;€956,05;€31,14;€0,00;€0,00;€21,00
Antico Pastificio Moscova di Zecchi G. & C sas;VIA DELLA MOSCOVA 27;;;MILANO;MI;20121;Fabio Gallo;Fabio Gallo;30/12/22;09/02/23;€944,04;€106,20;€0,00;€0,00;€438,95
AGENCIA PER A LA COMPETITIVITAT DE L'EMPRESA, ACCIO';VIA MONTEBELLO 27;;;MILANO;MI;20121;;;28/02/23;12/01/23;€938,58;€0,00;€0,00;€0,00;€449,83
VERGANI MILANO 1944 SRL  - Via Mercadante 17;VIA ORISTANO 5;;;Milano;MI;20128;Fabio Gallo;Fabio Gallo;13/03/23;23/03/23;€916,07;€1.018,03;-€61,48;€0,00;€1.249,47
PLASTEVA SRL;VIA LOMBARDIA, 37;;;CARATE BRIANZA;MB;20841;Fabio Gallo;Fabio Gallo;31/03/23;13/07/22;€914,77;€2.580,48;€219,35;€1.488,98;€3.800,42
I GRANDI VIAGGI S.p.A.;VIA DELLA MOSCOVA, 36;;;MILANO;MI;20121;Giordano Greco;Giordano Greco;28/02/23;28/04/22;€911,40;€0,00;€0,00;€0,00;€60,00
KISWIRE INTERNATIONAL S.A.;Corso Sempione 84;;;Milano;MI;20154;Fabio Gallo;Fabio Gallo;31/03/23;14/11/22;€908,53;€765,55;€606,10;€124,77;€1.618,71
Mercato Srl;Via Fatebenefratelli, 34;;;Milano;MI;20121;Giordano Greco;Giordano Greco;03/04/23;29/01/20;€865,27;€1.585,05;€19,32;€0,00;€2.356,13
ASSOCIAZIONE ENOLOGI ENOTECNICI ITALIANI;VIA PRIVATA VASTO;3;;MILANO;MI;20121;Fabio Gallo;Fabio Gallo;28/02/23;24/02/23;€858,18;€0,00;€0,00;€0,00;€1.046,98
TrueMED jdoo;vozisce 5;;;viskovo;;51216;;;05/04/23;04/04/23;€829,76;€0,00;€829,76;€0,00;€829,76
LAUFEN BATHROOMS AG;WAHLENTRASSE 46;;;LAUFEN;;4242;Fabio Gallo;Fabio Gallo;08/08/22;;€800,00;€0,00;€0,00;€0,00;€0,00
SYNTHESIS S.R.L.;VIA BRERA, 28;via brera 28;;MILANO;MI;20121;;;07/02/23;20/12/22;€793,44;€0,00;€0,00;€0,00;€0,00
ENRICA MASSEI;VIA BIGLI 15;;;MILANO;MI;20121;Fabio Gallo;Fabio Gallo;04/04/23;13/03/23;€746,06;€0,00;€12,30;€0,00;€895,18
MURASHKA HANNA;VIA SANTO SPIRITO, 5;;;MILANO;MI;20121;;;31/03/23;;€729,11;€0,00;€300,00;€0,00;€366,00
ZORLONI ALESSIA;VIA VINCENZO CAPELLI 4;;;milano;MI;20124;Fabio Gallo;Fabio Gallo;19/07/22;25/07/22;€717,87;€0,00;€0,00;€0,00;€0,00
STUDIO BONAMINI & PARTNERS;VIA GIUSEPPE GARIBALDI 19;;;Verona;vr;37121;Fabio Gallo;Fabio Gallo;30/08/22;02/02/23;€694,15;€0,00;€0,00;€0,00;€0,00
MEDIA PLACE S.R.L.;VIA EMILIO DE CAVALIERI 11;;;ROMA;RM;00197;Fabio Gallo;Fabio Gallo;05/04/23;05/04/23;€687,44;-€22,95;€75,41;€0,00;€0,00
luca floriano;VIA VOLTA 3;;;Milano;MI;20121;Fabio Gallo;Fabio Gallo;31/01/23;27/03/23;€669,48;€0,00;€0,00;€0,00;€684,57
ACI BLUETEAM SOCIETA' PER AZIONI;VIA MARSALA, 8;;;ROMA;RM;00185;Fabio Gallo;Fabio Gallo;30/12/22;02/01/23;€660,00;€0,00;€0,00;€0,00;€0,00
ITALIAN FOOD HOLDING S.R.L.;CORSO GIUSEPPE GARIBALDI, 49;;;MILANO;MI;20121;;;03/04/23;31/03/23;€658,58;€0,00;€209,13;€0,00;€927,32
NOVACELL BIOTECH COMPANY S.R.L.;VIA MAURO MACCHI, 27;;;MILANO;MI;20124;Fabio Gallo;Fabio Gallo;23/08/22;;€656,53;€0,00;€0,00;€0,00;€0,00
CONSORZIO NAZIONALE IMBALLAGGI IN BREVE CONAI;VIA TOMACELLI 132;;;ROMA;RM;00186;Fabio Gallo;Fabio Gallo;28/02/23;18/11/22;€650,00;€0,00;€0,00;€0,00;€793,00
Retail In Srl;Via Valformazza 17;;;Cesano Maderno;MB;20811;Fabio Gallo;Fabio Gallo;05/04/23;14/02/23;€633,46;€691,44;€56,15;€30,50;€1.371,87
HOME SRL;VIA SOLFERINO 18;;;MILANO;MI;20121;Fabio Gallo;Fabio Gallo;10/03/23;13/03/23;€620,90;€1.283,37;€131,14;€0,00;€0,00
Federico Saralvo;via bellotti 7;;;milano;mi;20129;Fabio Gallo;Fabio Gallo;05/07/22;;€605,00;€0,00;€0,00;€0,00;€0,00
GIANNI DAVI;VIA OVADA 2;;;MILANO;MI;20142;Fabio Gallo;Fabio Gallo;27/01/23;30/01/23;€600,00;€0,00;€0,00;€0,00;€0,00
FMEDIA S.R.L.;VIA VERDI 2;;;BERGAMO;BG;24121;Fabio Gallo;Fabio Gallo;30/01/23;;€588,45;€0,00;€0,00;€0,00;€486,13
UDITOBRIANZA;via santa caterina n. 111;;;Besana in Brianza;mi;20842;Fabio Gallo;Fabio Gallo;23/03/23;05/04/23;€580,06;€0,00;€0,00;€0,00;€10,76
TESTORI ROSA PIERA ANTONIA;VIA TINTORETTO, 10;;;COLOGNO MONZESE;MI;20093;Fabio Gallo;Fabio Gallo;31/03/23;25/01/23;€574,88;€0,00;-€775,26;€0,00;€118,06
GALLERIA TEGA SRL;VIA SENATO 20;;;MILANO;MI;20121;Fabio Gallo;Fabio Gallo;27/05/22;03/04/23;€573,77;€0,00;€0,00;€0,00;€0,00
S.T. & G. SOCIETY FOR TECHNOLOGY AND GOALS S.R.L.;VIA ENRICO BESANA, 11;;;MILANO;MI;20122;;;28/02/23;;€551,55;€0,00;€0,00;€0,00;€0,00
FARAD I.M. Investment Management SA;11-17, rue Beaumont;;;Luxembourg;;1219;;;27/01/23;;€550,00;€0,00;€0,00;€0,00;€0,00
voestalpine italia srl;via filippo turati 29;;;milano;MI;20121;Fabio Gallo;Fabio Gallo;30/12/22;24/10/22;€541,72;€1.272,00;€0,00;€0,00;€1.637,50
AMICI DELLA GALLERIA D'ARTE MODERNA VILLA REALE ONLUS;VIA PALESTRO, 16;;;MILANO;MI;20123;Giordano Greco;Giordano Greco;31/03/23;;€537,46;€325,24;€352,46;€0,00;€826,79
Paolo Massimiliano Bottelli;Largo Cairoli, 2;;;Milano;mi;20121;Fabio Gallo;Fabio Gallo;23/11/22;10/11/22;€535,21;€0,00;€0,00;€0,00;€0,00
ENTE NAZIONALE GERMANICO PER IL TURISMO;FORO BUONAPARTE, 12;;;MILANO;MI;20121;;;13/10/22;13/10/22;€524,00;€0,00;€0,00;€0,00;€0,00
CLUB MILANO CITY S.R.L.;VIA PRIVATA ARCHIMEDE, 2;;;CORSICO;MI;20094;Giordano Greco;Giordano Greco;20/09/22;08/07/22;€523,50;€1.257,80;€0,00;€247,99;€2.105,10
Giovanna Poletti;Via Cernaia 6;;;Milano;MI;20121;;;18/11/22;;€508,20;€0,00;€0,00;€0,00;€0,00
SRI GROUP ITALIA S.R.L.;VIA ANDREA APPIANI, 12;;;MILANO;MI;20121;Giordano Greco;Giordano Greco;15/03/23;;€506,04;€817,55;€463,04;€104,92;€933,11
GIUSEPPE NICOLAS RUSSO;VIA ROMA 23;;;MILANO;MI;20121;;;31/03/23;;€500,00;€0,00;€500,00;€0,00;€0,00
IMURA ART GALLERY CO, LTD.;TO - MINATO KU;;;TOKYO;;1070052;;;27/02/23;01/03/23;€500,00;€0,00;€0,00;€0,00;€0,00
Kettleblaze;Via Lavino 195;;;Monte San Pietro;BO;40050;Fabio Gallo;Fabio Gallo;23/02/23;28/02/23;€500,00;€250,00;€0,00;€0,00;€915,00
BRERA21 SRL;via mangili n6;;;MILANO;MI;20121;Fabio Gallo;Fabio Gallo;31/10/22;13/02/23;€482,76;€11.229,40;€0,00;€0,00;€14.246,12
L&B PARTNERS AVVOCATI ASSOCIATI STP a r.l.;VIA MONTEGRAPPA, 18;;;TRANI;BT;76125;Fabio Gallo;Fabio Gallo;31/03/23;31/03/23;€466,33;€262,06;€101,39;€43,03;€1.085,32
PLAYMORE! SOCIETA' SPORTIVA DILETTANTISTICA S.R.L.;VIA ALESSANDRO VOLTA 19;;;MILANO;MI;20121;;;24/03/23;;€465,09;€100,00;€18,03;€0,00;€0,00
LEAD Communication Srl;Via Puccini 1;;;Milano;MI;20121;Fabio Gallo;Fabio Gallo;30/12/22;;€456,00;€1.476,16;€0,00;€0,00;€2.093,72
ITALIAN FOOD HOLDING S.R.L.;CORSO GIUSEPPE GARIBALDI, 49;;;MILANO;MI;20121;;;16/02/23;31/03/23;€442,87;€0,00;€0,00;€0,00;€0,00
NextPower Development Italia S.r.l.;Via San Marco 21;;;Milano;MI;20121;Fabio Gallo;Fabio Gallo;31/03/23;31/03/23;€435,72;€0,00;€15,42;€0,00;€174,60
SANGUINETTI EDITORE SPA;VIA HOEPLI 7;;;MILANO;MI;20121;Fabio Gallo;Fabio Gallo;16/12/22;;€433,60;€450,82;€0,00;€0,00;€0,00
GEORGIA TALAIPOROU;VIA MILAZZO 10;;;MILANO;MI;20121;;;31/01/23;23/07/21;€427,87;€49,18;€0,00;€0,00;€0,00
GABRIELLA CRESPI SRL;VIA GIOTTO 29;;;MILANO;MI;20145;;;04/04/23;22/02/19;€427,60;€259,43;€0,00;€0,00;€0,00
CASTA DIVA PICTURES S.R.L.;VIA PAOLO LOMAZZO, 34;;;MILANO;MI;20154;Fabio Gallo;Fabio Gallo;19/05/22;;€419,36;€135,25;€0,00;€0,00;€0,00
American Chamber of Commerce in Italy;Via Cantù, 1;;;Milano;MI;20123;Giordano Greco;Giordano Greco;30/06/22;28/11/22;€416,31;€3.234,64;€0,00;€319,14;€4.507,45
ITACA COMUNICAZIONE S.R.L.;VIALE MONTE SANTO 1/3;;;MILANO;MI;20124;Fabio Gallo;Fabio Gallo;21/03/23;17/03/23;€413,94;€3.110,39;€0,00;€1.147,12;€3.611,85
MCCUEEN INTERNATIONAL S.R.L.;VIA CERVA, 18;;;MILANO;MI;20122;Fabio Gallo;Fabio Gallo;05/04/23;19/07/22;€404,59;€0,00;€0,00;€0,00;€0,00
