Name;Street1;Street2;Street3;City;Province;Zip;User;UserSS;Last Shipment;Last Contact;Sales YTD;Sales LY YTD;Sales Last Month;Sales Last Month LY;Balance
DEBONGNIE FRANCOTS;BELGIO;;;;;;Fabio Gallo;Fabio Gallo;;;€0,00;€0,00;€0,00;€0,00;€0,00
Enrica Massei ;via bigli 6;;;Milano;;;Fabio Gallo;Fabio Gallo;;17/11/22;€0,00;€0,00;€0,00;€0,00;€0,00
foundspot;s;;;milano;mi;20121;Fabio Gallo;Fabio Gallo;;20/02/23;€0,00;€0,00;€0,00;€0,00;€0,00
Frades - Milano;via mazzini 20  ;;;Milano;;20123;Fabio Gallo;Fabio Gallo;;23/02/23;€0,00;€0,00;€0,00;€0,00;€0,00
GINO DIENI;;;;;;;Fabio Gallo;Fabio Gallo;;;€0,00;€0,00;€0,00;€0,00;€0,00
GIULIA BOCCAFOGLI;;;;;;;Fabio Gallo;Fabio Gallo;;12/11/22;€0,00;€0,00;€0,00;€0,00;€0,00
INTERTRADE GROUP;Via Portogallo, 11, 35127 Padova P;;;Padova;pd;20121;Fabio Gallo;;;12/11/22;€0,00;€0,00;€0,00;€0,00;€0,00
ITAGO SGR S.p.A.;;;;;;;Fabio Gallo;Fabio Gallo;;17/10/22;€0,00;€0,00;€0,00;€0,00;€0,00
Kryalos SGR S.p.A.;;;;;;;Fabio Gallo;Fabio Gallo;;;€0,00;€0,00;€0,00;€0,00;€0,00
 Lidl Italia S.r.l. ;via Augusto Ruffo, 36 ;;; Arcole;vr; 37040;Fabio Gallo;Fabio Gallo;;08/02/23;€0,00;€0,00;€0,00;€0,00;€0,00
LOWSTORE SAS DI BROCCHIERI SABRINA;;;;;;;Fabio Gallo;Fabio Gallo;;12/11/22;€0,00;€0,00;€0,00;€0,00;€0,00
LUCIAN BUCUR;;;;;;;Fabio Gallo;Fabio Gallo;;;€0,00;€0,00;€0,00;€0,00;€0,00
LUNI ;VIA DELLA MOSCOVA 13;;;MILANO;;20121;Fabio Gallo;Fabio Gallo;;13/02/23;€0,00;€0,00;€0,00;€0,00;€0,00
MADE4ART; Via Ciovasso, 17,;;;Milano;MI;20121;Fabio Gallo;Fabio Gallo;;15/02/23;€0,00;€0,00;€0,00;€0,00;€0,00
, Mais Carlesi;s;c;;sc;sc;sc;Fabio Gallo;Fabio Gallo;;27/01/23;€0,00;€0,00;€0,00;€0,00;€0,00
MASSIVE MUSIC STORE ;;;;;;;Fabio Gallo;Fabio Gallo;;15/02/23;€0,00;€0,00;€0,00;€0,00;€0,00
© Massive Snc di Platto & C.;Via g. Fara 4;;;Milano;;20124;Fabio Gallo;Fabio Gallo;;12/01/23;€0,00;€0,00;€0,00;€0,00;€0,00
MEDISPA S.R.L.;;;;;;;Fabio Gallo;Fabio Gallo;;12/11/22;€0,00;€0,00;€0,00;€0,00;€0,00
MILA PIERCE;;;;;;;Fabio Gallo;Fabio Gallo;;;€0,00;€0,00;€0,00;€0,00;€0,00
MUN SRL;;;;;;;Fabio Gallo;Fabio Gallo;;12/11/22;€0,00;€0,00;€0,00;€0,00;€0,00
NEGRI FIRMAN PR & COMMUNICATION srl;;;;;;;Fabio Gallo;Fabio Gallo;;12/11/22;€0,00;€0,00;€0,00;€0,00;€0,00
nicolo gatti srl;via volturno;1;;BERGAMO;BG;24124;Fabio Gallo;Fabio Gallo;;01/06/21;€0,00;€0,00;€0,00;€0,00;€0,00
nicolò gatti srl;viale lunigiana 35;;;milano;Monza e della Brianza;20125;Fabio Gallo;Fabio Gallo;;05/04/23;€0,00;€0,00;€0,00;€0,00;€0,00
 Niemas.ch;;;;;;;Fabio Gallo;Fabio Gallo;;;€0,00;€0,00;€0,00;€0,00;€0,00
Obsydian Design S.r.l.;Via Galileo Galilei 5;;;MILANO;mi;20124;Fabio Gallo;Fabio Gallo;;06/03/23;€0,00;€0,00;€0,00;€0,00;€0,00
OFFICINA SONORA DEL BIGALLO SRLS;Via Bigallo e Apparita 4;;;Bagno a Ripoli;fi;50012;Fabio Gallo;Fabio Gallo;;06/10/22;€0,00;€0,00;€0,00;€0,00;€0,00
Papis Cesare Srl;;;;;;;Fabio Gallo;Fabio Gallo;;17/10/22;€0,00;€0,00;€0,00;€0,00;€0,00
PAULINE GUZMAN;USA;;;;;;Fabio Gallo;Fabio Gallo;;;€0,00;€0,00;€0,00;€0,00;€0,00
Prospect test;;;;;;;Fabio Gallo;Fabio Gallo;;;€0,00;€0,00;€0,00;€0,00;€0,00
Prova 1 Febbraio;Viale Lunigiana 35;;;Milano;Milano;20141;Fabio Gallo;Fabio Gallo;;14/02/23;€0,00;€0,00;€0,00;€0,00;€0,00
Prova 7 Febbraio;Viale Lunigiana 35;;;Milano;Milano;20141;Fabio Gallo;Fabio Gallo;;14/02/23;€0,00;€0,00;€0,00;€0,00;€0,00
Provalead;;;;;;;Fabio Gallo;Fabio Gallo;;;€0,00;€0,00;€0,00;€0,00;€0,00
QUARANTA6 srl ;via vercelli;;;Milano;;;Fabio Gallo;Fabio Gallo;;30/11/22;€0,00;€0,00;€0,00;€0,00;€0,00
roberto  scarpe;;;;;;;Fabio Gallo;Fabio Gallo;;05/04/23;€0,00;€0,00;€0,00;€0,00;€0,00
Sawaya & Moroni spa;;;;;;;Fabio Gallo;Fabio Gallo;;12/11/22;€0,00;€0,00;€0,00;€0,00;€0,00
SIMPLENARD;;;;;;;Fabio Gallo;Fabio Gallo;;;€0,00;€0,00;€0,00;€0,00;€0,00
UNITALIANO.COM SRL;;;;;;;Fabio Gallo;Fabio Gallo;;23/02/23;€0,00;€0,00;€0,00;€0,00;€0,00
WISLET SIMPLENARD;;;;;;;Fabio Gallo;Fabio Gallo;;08/02/23;€0,00;€0,00;€0,00;€0,00;€0,00
yukari kanahara;;;;;;;Fabio Gallo;Fabio Gallo;;;€0,00;€0,00;€0,00;€0,00;€0,00
zetaparfparfoum;;;;;;;Fabio Gallo;Fabio Gallo;;12/11/22;€0,00;€0,00;€0,00;€0,00;€0,00
